"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003735","GO:0003735","structural constituent of ribosome","14/20","182/18368",1.94799159340788e-24,5.45437646154206e-23,4.30608668016479e-23,"RPS8/RPL6/RPS9/RPL23A/RPS16/RPL17/RPL10A/RPL18A/RPS12/RPL14/RPL13A/RPL21/RPL35/RPL35A",14
"GO:0019843","GO:0019843","rRNA binding","2/20","68/18368",0.00245769598353163,0.0344077437694428,0.0271640082390338,"RPS9/RPL23A",2
"GO:0045296","GO:0045296","cadherin binding","3/20","332/18368",0.00531016123024182,0.0495615048155903,0.0391275038017818,"RPL6/RPL23A/RPL14",3
