"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051015","GO:0051015","actin filament binding","7/101","217/18368",0.000195922944936805,0.0476541013958889,0.0424594004158127,"TPM4/CFL1/TPM1/MYH6/ARPC2/DSTN/HCLS1",7
"GO:0051536","GO:0051536","iron-sulfur cluster binding","4/101","68/18368",0.000535439341526841,0.0476541013958889,0.0424594004158127,"NUBP2/NDUFV2/ELP3/GLRX3",4
"GO:0051540","GO:0051540","metal cluster binding","4/101","68/18368",0.000535439341526841,0.0476541013958889,0.0424594004158127,"NUBP2/NDUFV2/ELP3/GLRX3",4
