,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F23,F24,F26,F28,F29,F30,F36,F38
ARFIP1,20.797504,19.012405,21.317034,21.282627,22.185236,21.027836,21.441738,21.135462,20.877851,21.214518,22.52588,21.084246,21.186043,21.70873,20.397215,19.02953,20.956064,21.116417,22.424831,19.6617,20.942425,19.608236,19.556942,20.419815,21.013885,20.517391,20.568289,19.618824
SPARC,23.579618,24.01592,23.418453,22.918154,24.821333,22.90225,22.644875,23.879726,23.729794,22.670355,24.1134,23.149776,23.343647,22.539951,21.962679,22.015417,22.069246,23.453154,24.834234,23.52376,22.845541,23.321457,22.30824,23.534912,23.583048,20.991007,22.643375,22.178507
DNAJB1,20.640184,20.328667,20.926052,21.263893,21.136944,20.02225,21.49922,19.565855,21.878378,22.201118,22.089382,21.438898,21.570152,21.544867,21.873055,20.260273,21.503586,21.958324,22.396366,21.288664,20.608263,20.899733,20.949598,20.646788,20.600082,18.874685,21.18847,21.04462
DCAKD,21.11155,21.405294,21.241621,21.245853,22.996996,20.613491,20.913736,21.97634,21.626314,21.183022,22.419342,20.093481,21.533895,20.742565,20.844889,21.923534,21.611681,21.365372,22.367085,19.731293,21.960035,22.804972,21.73711,21.369247,21.191479,20.943819,22.35257,20.974266
MAGOHB,21.322607,20.83062,21.884415,21.606936,21.287416,21.6693,22.010794,21.938948,20.21867,21.710815,21.074047,21.79094,20.685783,21.340616,21.040878,18.964588,21.5967,20.170649,22.320028,18.082788,19.897429,19.787588,20.963045,19.030579,20.9267,18.139019,20.621891,20.546099
HDGFRP3,20.746881,20.051182,20.247187,20.333738,19.388277,18.45895,19.646704,19.336332,19.640081,19.776642,18.359146,22.011635,20.838293,20.660833,20.890093,19.146591,22.13734,23.11982,22.74699,20.010725,20.590944,19.362507,18.211746,19.30453,19.392786,18.367525,19.557642,18.630577
IGF2BP2,20.865826,22.28282,21.348593,20.200535,18.226936,21.015398,19.976107,17.888638,21.940508,17.499918,19.029242,21.000511,21.351013,19.417912,18.115738,15.39711,21.409643,21.253477,19.35829,18.965174,20.143112,19.76342,21.933584,19.751793,19.418407,19.553736,19.068726,19.833637
PCCB,19.60542,20.971525,18.533518,19.462503,20.500275,21.266466,19.657583,19.38758,22.25741,20.485088,20.806355,20.549255,20.327164,19.28185,19.952505,19.846956,20.204325,19.42566,20.506937,18.459558,19.744184,19.065552,16.220842,17.256008,18.150778,19.233534,18.550201,18.428984
UCHL3,18.648369,21.332642,22.21044,22.282299,20.981014,21.432526,21.572037,20.998358,21.447794,20.708952,21.176685,20.66307,21.298056,21.847212,19.503698,21.08366,19.540085,17.340769,21.303802,19.811718,22.047115,20.09687,20.364555,21.451672,20.841854,21.710224,20.779287,20.29854
AK3,20.405731,22.369297,21.260712,21.535042,21.764866,22.222206,21.76601,20.802822,22.642956,21.861914,21.78336,20.702806,21.485023,20.995852,20.626392,22.576283,21.833101,23.334269,20.92337,21.221632,22.440947,21.54952,21.860641,21.588682,21.668798,21.594152,22.077635,20.648737
PDE4B,20.163628,18.176023,19.953527,20.553415,20.26279,18.536001,20.043886,19.121592,19.309061,20.734251,20.84521,18.204777,18.728237,19.990213,18.816149,18.207687,20.648588,17.68893,20.16075,18.851889,21.411514,18.881613,20.89679,19.61491,18.08551,21.559988,21.40119,20.201818
TNS3,18.689663,20.059683,19.02086,19.600815,18.829319,17.702692,18.008224,19.158585,19.012056,19.078514,17.935324,17.837187,18.692474,18.956656,19.705109,17.038721,21.360277,19.269953,17.719347,18.817623,19.48655,20.763618,20.73774,20.632866,18.728895,20.488668,19.61468,17.918251
MPP2,20.265842,18.4276,20.06099,20.576172,21.89928,19.544382,18.008087,19.04739,19.643658,18.199692,18.80147,19.963705,17.848242,19.50575,21.187109,16.59201,21.617188,21.370132,18.281557,21.212566,21.647484,21.803797,22.0043,21.074383,20.946562,22.054482,20.898428,22.231792
HK2,18.893454,20.460825,19.952953,19.08376,20.384243,18.497404,19.022785,18.139454,20.551558,20.237898,19.768286,19.666111,20.392447,19.851736,20.962385,18.017027,19.462086,21.133833,19.095835,19.49191,19.789001,20.18132,20.073238,19.234978,19.150684,20.61622,20.811378,20.067926
SLC17A7,18.704552,19.89401,20.35848,19.420652,19.844057,20.658655,19.377926,17.270493,19.419558,19.539997,19.650059,19.27845,19.908487,16.409937,19.702644,18.165289,20.652397,16.921686,16.06338,20.018454,20.09372,19.837965,22.399193,20.642958,20.07134,23.538776,20.603172,24.699396
ZC3H18,21.040642,18.415974,20.430399,21.40185,20.908447,19.632877,20.205357,19.175358,18.4762,20.789576,19.044207,19.311565,16.505848,19.01433,18.955942,18.791159,19.163942,20.466785,18.9645,18.444654,20.553572,20.685978,19.457834,19.924791,18.222815,20.816652,21.605093,18.728941
PPP1R1B,20.097694,21.064613,17.21651,16.357796,17.803877,20.94401,17.495813,17.834248,18.24948,17.712385,19.73298,19.594925,18.867416,15.539983,18.6078,22.94142,16.529274,17.00218,16.77863,18.33642,19.227325,16.693073,18.540676,20.326303,16.268347,18.31679,19.518925,21.17671
COX6B1,22.315369,22.234745,22.09979,21.723402,21.379478,21.117046,18.964338,20.52889,19.91586,20.952961,21.015417,20.146347,20.693132,20.880138,19.96395,19.152435,20.014036,20.89744,19.988806,16.332935,22.905039,23.156813,23.13995,22.171175,22.740257,23.342045,21.708794,23.051758
RBM15,20.102238,19.84726,19.792198,19.383345,19.056482,19.155169,18.910099,18.180817,17.817568,17.805695,19.635643,19.027534,18.109207,19.268602,17.944435,18.083252,19.18669,19.273716,16.09432,18.76118,19.648016,18.82974,19.492348,18.428802,19.158129,19.462435,19.519617,19.646744
FUK,20.151989,19.225658,19.677914,20.299353,18.196714,19.86728,19.53594,18.156094,20.696861,19.539143,16.958916,19.557686,19.844906,19.742956,18.734509,18.953178,20.777874,18.859354,17.752981,17.922539,19.856844,19.124882,19.806938,19.36168,19.8558,20.114288,19.997068,18.935867
EML3,20.143795,18.481758,19.66434,20.201876,20.323112,17.826069,19.00877,17.419235,19.970182,20.805117,19.216228,17.132626,19.58218,20.091917,18.762054,19.92142,19.03485,21.029484,17.770966,19.133295,18.47352,18.323116,19.55222,18.610615,19.23339,18.520868,17.733555,19.691622
