,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F23,F24,F26,F28,F29,F30,F36,F38
PLEC,29.022385,29.802143,29.256836,29.573948,29.966923,29.111849,29.097717,29.252636,29.751486,29.194767,29.607613,29.130674,29.761147,29.210205,28.410975,30.390133,29.211048,29.592112,29.650671,27.817993,28.687393,29.431639,29.590605,29.321507,28.086044,29.041363,29.186632,29.07786
ALB,34.554546,32.10458,32.91579,32.898716,32.444225,29.744986,32.80634,31.454952,30.545523,32.801533,32.015446,32.936817,30.153524,32.94577,31.44897,28.333776,32.931835,32.901466,32.3581,30.536833,31.6597,30.470835,31.556442,31.69696,31.496037,33.97892,30.053358,30.339697
GFAP,32.0235,33.78313,33.341145,32.672626,32.63489,33.847874,32.810127,32.43174,34.308117,33.132812,33.136196,33.753376,34.32666,33.099483,33.88871,35.45993,33.94429,33.24779,33.05802,30.863136,32.811157,34.911743,34.28327,34.229664,30.953167,32.89446,33.888428,33.37245
SPTAN1,27.555271,28.592318,28.31342,27.920889,29.217556,27.922832,27.483988,28.3809,28.371605,27.579273,28.761494,28.398087,28.830812,28.01272,28.31099,28.118696,29.22641,27.887344,29.308064,26.617414,29.062654,28.796824,29.72292,29.316103,28.809425,29.835546,29.07027,30.510849
VIM,31.662945,32.882393,32.569675,33.00416,32.726192,32.37003,32.74022,32.72559,32.98729,33.174995,33.2481,32.733807,32.86244,32.967457,32.664566,32.271973,31.72604,33.271523,33.282063,32.35545,32.84981,33.568676,32.251728,33.419952,31.515415,30.964878,32.543114,31.551798
DYNC1H1,27.221277,27.32126,28.207481,27.756317,28.316647,27.179249,27.770067,27.712656,27.918158,27.65944,28.195791,28.03041,27.778746,27.701448,28.334764,26.24627,27.70662,27.770714,28.31116,25.881865,28.570972,28.20541,28.76567,28.046665,27.670225,28.090523,28.056667,28.52776
SPTBN1,26.92657,28.447615,28.157843,27.90986,28.974432,27.967283,27.362846,28.32201,28.302591,27.734034,28.788496,27.84423,28.482317,27.807072,27.820173,27.76637,28.628172,27.72233,28.87589,26.168337,28.825602,28.50092,29.295292,29.082941,28.517284,29.30397,28.68132,29.997746
NES,25.510553,30.444803,29.681768,30.937737,30.736055,29.966171,30.519083,30.287163,30.299967,30.684341,30.972635,29.58907,30.214182,30.676214,27.976786,26.951784,28.31695,28.954468,30.854616,28.238632,30.17065,29.2383,28.011042,28.492851,28.728905,26.774715,29.28781,28.38327
FLNA,27.58304,28.109015,28.522772,28.573256,28.480158,27.650826,28.316265,27.971783,28.51407,28.245127,28.185394,28.405256,28.33457,28.387486,28.893475,26.960653,27.584528,28.597042,28.421814,28.014286,28.30691,28.494791,27.66398,27.574429,28.089743,26.650879,28.323393,26.593376
ACTB,31.557432,33.041973,32.391308,32.220932,32.150753,33.486355,32.163246,32.195595,33.08354,32.35006,33.03251,32.66437,32.559475,32.192844,32.383488,31.25626,32.43961,32.700596,32.411407,31.787844,32.812614,31.935888,32.136787,32.158268,32.016068,32.225456,32.329716,31.994095
ACTG1,20.84811,20.451145,20.045883,21.566107,20.655807,22.643024,20.947372,20.023855,21.219364,19.951038,19.110073,20.34305,20.514189,20.44093,19.887957,19.234547,20.9446,21.987843,20.180532,22.376005,19.465767,17.69436,18.4979,18.302113,19.53397,18.48522,17.580013,18.72738
TUBB2B,24.11809,26.056559,27.112026,26.591413,26.671457,26.430338,25.816042,25.910097,26.528994,26.057686,26.781796,27.384771,26.382105,26.180473,26.510542,23.505016,26.692095,25.294178,26.66614,20.712029,26.305609,25.203876,25.712835,25.931541,25.726805,25.385118,25.947691,24.840498
TUBB2A,25.670055,27.236351,28.22626,27.083866,28.039595,27.297401,27.823795,27.047361,27.836414,26.660227,27.72341,27.93033,26.799273,26.541664,27.00105,24.500216,26.9045,26.564274,27.128614,25.029625,26.598387,26.110373,27.257143,26.410233,26.132648,27.799011,26.844194,27.932392
TUBB,27.069925,27.948555,28.908577,29.335365,28.53167,28.449686,29.188148,28.291706,28.985172,28.595829,29.010328,28.819649,28.373325,28.460487,28.27233,25.85427,27.962376,27.680914,28.732908,26.382725,27.342886,26.85481,27.341013,26.868292,27.309374,27.359634,27.350342,27.727823
TUBB4B,29.485233,29.77586,30.892284,30.693703,30.886599,29.971216,30.505213,30.404343,30.262463,29.689716,30.062218,30.837555,29.86632,30.229755,30.143482,29.878313,29.958775,29.633745,30.124,28.185946,30.48175,29.622599,30.439516,29.816874,29.327677,30.867449,30.507174,31.256731
FLNC,26.250093,25.568346,28.319925,25.583395,24.823479,25.330488,25.59418,24.081656,25.73843,25.561466,24.80015,28.144833,25.548664,25.373476,28.301546,27.537823,27.167871,28.46002,24.877861,25.294275,25.975208,28.766914,26.69691,26.727358,25.42598,25.981237,25.782448,23.604746
TNC,26.038546,27.820755,28.81117,28.98912,25.485868,27.671509,28.680964,24.274279,27.469593,28.611086,24.943014,28.761753,28.053892,28.790354,29.71037,26.085535,24.4427,26.332468,25.082615,25.724962,27.345232,27.774414,27.951916,27.6105,25.863968,27.171904,26.962389,27.79563
PKM,28.943935,29.192366,29.705807,30.185577,29.435198,29.072874,29.852003,29.163082,29.366552,29.627789,29.024137,29.361486,28.973404,29.598007,28.833208,28.756208,28.917316,30.496788,28.885237,28.702166,29.09307,28.564575,29.2936,29.312439,29.306543,29.367773,29.055777,29.71676
CLTC,27.57744,27.256226,28.246407,27.596533,27.841389,26.663893,27.395355,27.196653,27.41356,27.340136,27.298414,27.826254,27.250448,27.473215,27.743048,25.548113,28.168268,27.727438,27.627352,25.730217,27.959763,28.341602,29.09958,27.95886,27.798958,29.184391,28.573156,29.708057
TUBB4A,21.975422,22.508879,23.946552,24.019753,23.795343,22.011667,23.297836,23.3498,21.158258,23.189503,23.091024,23.5605,22.257719,23.578154,25.901943,21.472815,26.59757,23.090649,23.482883,21.12175,22.250858,23.797747,26.811666,25.578522,23.821411,27.371737,23.740004,28.12544
HSPG2,24.920177,26.716194,27.04744,27.559849,27.483248,26.078505,27.506123,24.781925,27.073399,27.816917,24.274786,26.563093,26.729439,27.282934,26.700583,25.204313,23.629517,26.078444,26.229677,24.907923,27.300085,25.545807,25.515278,25.651676,28.810663,24.368017,26.211237,23.88176
MAP1B,26.026758,27.872437,27.95566,25.909164,27.317366,27.629606,25.668402,26.840012,27.716108,25.63802,27.541195,27.848442,27.567743,25.760567,27.190426,26.61412,27.132498,28.436361,27.192604,26.395115,27.64973,27.614227,27.68346,27.61217,26.183062,27.882418,27.371939,27.642725
MYH9,29.221197,27.00068,27.07736,27.12816,27.619158,25.169065,26.838013,27.69742,26.458199,27.065275,26.441566,26.653345,26.425116,26.711632,27.497547,26.009756,26.89352,28.174345,27.191221,26.980307,28.089346,27.823275,27.419165,26.836264,28.171804,26.470118,27.78043,27.158947
TUBA1A,30.000792,30.213884,31.234055,30.698328,30.799873,30.767012,30.809258,30.772034,31.336502,30.730566,30.980392,31.405025,30.808546,30.704191,31.015356,30.243954,30.9446,29.959133,31.047739,28.130295,30.491755,29.878546,30.72779,30.277212,29.668169,31.031528,30.472483,31.660631
GAPDH,29.046288,29.807112,30.270782,30.540945,30.211319,30.15422,30.668661,30.171501,30.392395,30.167278,30.366337,30.09311,29.963343,30.646358,30.21147,28.720808,29.391153,30.636705,29.987797,29.033329,29.688568,28.426256,29.268385,29.558931,29.559685,29.601357,29.278946,30.135965
FN1,26.1017,25.377865,27.904121,27.54434,25.989704,24.794579,27.82672,23.802902,25.921518,28.170298,23.899578,27.612297,25.740189,27.806955,28.525303,24.5747,24.869303,27.211754,24.856209,25.102354,26.980728,27.079725,27.420227,25.26864,29.491262,26.893192,27.416328,24.11805
PRKDC,26.387878,25.990269,26.3407,27.063007,26.945055,25.383917,27.23892,26.224764,26.081364,26.943493,26.190508,26.744783,26.453192,27.239986,25.856325,24.92631,26.54857,26.59203,27.163635,24.954706,26.673307,25.941923,25.74284,25.138277,25.374477,25.341284,26.493307,25.234926
DPYSL2,27.672848,29.466179,29.652521,29.429438,29.329004,29.289497,28.595633,28.96656,29.156174,28.680143,29.161222,29.502325,29.058886,28.653166,29.454796,28.791157,29.370546,28.698914,29.12749,26.46238,28.487904,28.854887,29.603958,29.205887,27.750338,29.881344,28.417269,30.399958
TUBA1C,21.269236,24.14626,23.547104,24.908075,25.4962,23.663506,23.744766,22.090921,25.325048,23.593231,20.956732,24.518417,24.687727,24.097559,24.769835,22.711754,22.706556,23.493832,24.073465,24.35265,23.173304,24.06524,25.91028,24.60972,22.84204,26.203323,24.744612,26.594082
ENO1,28.654469,29.037642,29.529379,28.779806,28.919428,29.04856,28.798698,28.473812,29.061695,28.651808,29.119493,28.335075,28.130198,28.05906,28.32373,27.617012,27.318712,27.897186,28.18739,27.847488,29.217346,28.43779,28.891375,28.929758,28.444595,28.965067,29.163204,29.32539
C3,26.023798,25.030241,27.64206,27.262499,26.795345,24.94988,27.624725,26.587458,25.549397,27.632898,26.976357,27.42651,25.19766,27.46376,27.571049,23.53001,27.926582,27.224398,26.840572,24.769064,26.59127,27.271816,27.409588,27.295273,27.092419,28.240683,26.507607,26.561232
TLN1,26.727388,26.671757,26.650185,26.581003,26.297417,26.086353,26.481852,25.379677,26.892336,26.598291,26.023092,26.386614,26.40263,26.300362,26.251358,25.719826,26.222412,26.789783,26.070942,25.329082,26.717163,26.928173,26.810204,26.311123,27.180836,25.652529,26.94824,25.668718
CKB,27.434591,28.561068,28.456333,27.726006,29.568033,29.076185,27.898706,29.183735,28.89017,27.175438,29.403301,28.482258,28.887384,27.622114,27.802378,28.82197,27.694794,26.320229,29.897163,26.470089,27.85429,26.649128,28.18451,27.713026,28.932432,27.81064,27.012453,29.030033
ACTC1,21.26039,22.155409,24.655294,25.76272,25.310038,16.17253,21.998306,20.765055,15.188942,22.075373,22.032425,16.741621,16.650682,19.779337,21.28302,16.082445,21.626415,21.511707,17.897678,17.27776,22.087605,21.8058,21.071062,20.532194,22.085585,21.482126,22.569695,24.19264
ACTN4,27.341866,26.954487,27.653135,27.833448,27.449333,26.15279,27.343552,27.09993,26.876923,27.234598,26.90664,27.465616,27.145247,27.59005,27.50361,25.223862,26.955908,27.367191,27.418592,26.25543,27.897411,27.326178,27.059214,26.944622,27.112654,26.757648,27.445997,27.357006
ACTN1,24.822983,26.063406,26.730118,25.840288,25.738216,25.463549,24.762732,25.606766,25.716904,24.384834,24.400349,26.399769,26.604876,25.655909,27.353584,24.360804,25.368082,26.392185,25.413977,25.528997,27.71643,27.141031,26.595064,26.46412,25.813211,25.886042,25.94054,26.740957
COL6A3,27.86123,25.592873,25.155731,26.301176,27.989985,24.697289,26.679737,24.919521,25.465801,26.946882,24.7328,24.769814,25.46725,26.446634,26.93485,25.666422,24.570236,27.904903,26.28062,25.541618,25.696814,27.604229,25.808485,25.137053,28.118637,23.921795,24.42265,22.614408
KRT1,28.973406,27.939186,27.69051,26.630201,25.482538,32.49655,31.416208,29.565432,30.375544,30.539524,30.326443,27.639202,30.822824,31.0792,29.517706,29.118395,30.880714,28.393618,24.375576,33.839874,30.822828,29.91506,30.381033,30.508726,31.459612,30.9377,30.66157,32.003117
TF,25.753672,26.084124,28.879662,28.348505,28.149256,25.760504,28.28357,27.26158,25.518764,27.917965,27.528498,28.739052,26.263956,28.590973,27.732033,23.19202,29.025316,28.43148,28.220924,25.340906,27.856705,26.270477,27.228449,27.081814,27.160046,29.436913,26.473213,26.445719
FASN,25.948105,25.25814,26.871426,27.021484,26.39547,24.947327,26.86295,26.044073,26.47776,26.544891,26.234016,26.81388,25.83573,26.951677,25.439245,23.809269,26.330452,25.673374,26.379972,24.686855,26.917635,25.438442,26.4559,25.093578,25.259048,26.193464,26.98111,25.492508
TUBB3,25.264063,25.138968,26.975584,25.861506,24.917284,24.488098,25.059877,23.544138,24.585974,23.925114,23.488888,26.738739,24.887926,25.285435,27.049004,22.534191,26.445854,26.851053,24.476763,24.477997,26.677458,27.149693,26.746239,25.979136,23.998064,26.905855,26.142946,27.564306
HSPA8,29.306938,29.557547,29.289976,29.692581,29.802677,29.326878,29.19017,29.243654,29.180944,29.242647,29.719204,29.152973,29.278114,29.447605,28.627344,28.622007,29.72382,28.931936,29.732513,28.112036,29.682493,28.518366,29.148659,28.794453,28.994297,29.285,29.41648,29.58824
HSP90AB1,28.366976,27.158838,28.212042,28.194304,28.24805,27.101835,28.013418,27.949009,27.410406,27.929113,28.147783,27.703856,26.934435,28.109146,26.717838,25.645323,27.907755,27.25526,28.060806,27.003239,28.315586,26.784592,27.205791,26.48778,27.756622,27.26919,28.213366,27.362495
HSP90AA1,29.133474,28.832233,29.12715,28.922527,29.320473,28.915,28.975908,29.060076,28.863106,28.890255,29.452288,28.809143,28.733103,28.996769,28.581736,27.432978,28.611341,28.739384,29.578041,27.682924,29.307934,28.067108,28.433367,27.748638,28.578989,28.290737,28.506083,28.72901
ACTA2,26.954288,26.527037,27.376568,25.298462,25.719452,25.199263,25.083765,25.655535,25.630512,25.917099,26.39861,27.858295,27.164927,26.566916,27.655897,26.098406,27.137053,27.606483,27.567194,27.684374,25.503954,24.898766,25.318914,25.33468,26.322905,25.311232,26.44183,25.20173
KRT6A,26.35559,24.348999,23.810934,23.89176,21.51402,29.22319,27.827726,33.14695,27.172907,27.94404,26.94959,23.524166,27.548624,27.493729,26.099215,25.382124,27.167118,25.830591,22.666033,31.341984,28.22398,26.726984,27.97393,27.028275,28.482048,27.79349,27.54739,28.80343
KRT2,26.774817,25.267067,23.60803,23.076122,23.67465,30.209276,28.648933,26.64663,27.781797,27.91891,26.97425,24.763403,28.561241,29.12941,27.345484,26.451382,29.072742,27.856117,23.05525,33.359653,29.58696,27.563011,28.429876,28.096592,29.37681,29.064718,27.839212,29.726076
KRT6B,25.125927,24.104923,23.85043,23.084599,22.187931,28.586842,27.777777,29.827024,26.28001,26.784399,26.161652,23.696146,27.117645,27.519518,25.681726,25.092165,26.854708,24.008825,20.500103,29.701729,26.775215,25.83335,26.549341,26.598118,27.458464,26.800663,26.517935,27.668707
HBA1,32.304306,30.359383,31.18549,31.013939,29.968588,29.829424,31.091156,28.53808,29.353168,30.882107,29.203148,31.994982,31.300901,31.415335,32.448517,31.80718,31.326658,30.570898,30.061613,30.830042,29.707256,29.953575,30.605495,32.052917,33.627678,28.726255,31.636164,28.445024
HNRNPA2B1,28.484293,28.742907,28.992592,29.437893,29.193651,28.438835,29.28819,28.34166,28.335743,28.752604,28.331072,28.931562,28.952719,29.187473,28.508759,26.496069,28.778864,27.8299,29.239643,26.820654,29.500082,28.129719,28.163132,27.56198,27.584967,27.700165,28.986202,27.938896
MSN,26.51831,27.369194,27.817894,27.462172,28.14348,27.031288,26.625654,26.89479,27.271048,26.795433,27.472174,27.258585,27.199045,26.838144,27.173237,26.49454,26.919855,27.354797,27.471735,26.564598,28.346302,27.96287,28.274002,27.672258,27.252079,26.997007,28.19934,27.656382
LRP1,22.691631,27.230663,26.746393,26.878967,26.705215,27.043674,26.677635,25.931307,26.809889,26.38416,26.48749,26.275154,26.92162,26.463839,25.249397,24.213158,25.487528,25.753973,26.304356,24.678473,26.949223,26.256464,26.739052,26.100351,26.694561,25.695099,26.36976,25.99909
DSP,23.24625,22.497078,22.816725,22.43007,22.53396,25.491222,25.100208,28.048042,23.647316,24.321995,23.837254,22.72611,23.581347,23.328257,24.390352,22.582218,23.205957,22.883837,23.022644,24.357422,23.837437,23.150082,24.366396,23.987858,24.942045,24.179811,23.723795,25.554708
KRT10,27.774294,26.800598,25.955584,24.333393,24.721315,31.085773,29.855648,29.9797,28.477034,29.230062,28.518988,26.154772,29.753735,29.86243,28.71629,27.543772,30.375557,27.903261,22.277773,34.166847,30.27733,28.522427,29.320105,28.766584,30.309256,30.005754,29.083336,31.172913
MAP2,24.700293,26.346195,27.381765,27.2235,26.724016,25.515476,26.423315,25.621605,25.889294,26.455053,26.783552,27.337744,26.353481,27.066565,25.619862,22.112202,27.34212,25.025536,26.809996,23.209726,27.27688,24.92064,27.72045,25.739334,24.861387,27.776361,26.98129,27.808754
TUBA4A,23.55192,23.222414,24.671509,23.035612,23.589125,21.271503,22.56486,24.020538,22.228033,23.324646,23.998236,23.885706,23.911976,23.71251,24.486364,23.00038,25.396633,23.690876,23.397135,21.607685,23.292253,22.225729,25.548225,24.418169,23.531927,26.31271,23.829988,27.125895
ATP1A2,25.70931,26.320875,25.687832,26.519806,28.35151,26.018862,26.422993,27.743141,26.069134,26.247303,28.235573,25.449497,26.522545,26.276566,26.004345,25.999964,27.29801,25.416225,28.053122,24.766384,27.16414,26.181585,27.863533,27.828674,29.466272,28.213436,27.689453,28.81994
ANXA5,27.642284,30.193148,28.513214,28.156557,30.721323,30.350813,28.241173,30.41126,29.86461,27.760626,30.57548,27.970768,29.73627,27.70354,28.379753,27.736998,27.22097,28.467386,30.70511,27.627535,28.603498,28.163567,27.98325,28.379189,28.052355,26.842232,27.551773,28.470943
MYH10,24.943129,25.426287,26.440275,26.372747,26.022655,25.360592,25.861437,25.548544,25.916197,25.962727,25.74348,25.536228,25.03428,25.642763,24.523094,23.63365,25.625336,25.022043,25.615566,24.386646,26.187443,25.810167,26.063206,25.025599,25.2629,25.480547,26.06878,26.222475
AHNAK,25.927595,25.980503,25.088875,24.44598,26.535591,26.02484,24.72259,26.706732,25.920555,25.0919,26.334482,25.13958,26.738596,24.952412,25.275183,26.110313,25.67512,27.763601,26.710901,26.01277,25.801344,26.088758,26.191336,26.750671,24.983608,24.526894,25.752829,26.155153
GANAB,26.608583,27.400717,27.58861,27.821383,28.037317,27.013924,27.448788,27.209246,27.194523,27.28918,27.446114,26.629642,26.90997,27.363903,26.163805,25.977598,26.447231,27.348547,27.272196,25.937397,27.293062,26.475595,26.336765,25.885805,26.267061,26.03569,27.45817,26.482141
EEF1A1,29.066044,29.06077,29.796577,29.540478,29.719067,29.127668,29.731352,29.0871,28.941784,29.376345,29.457388,29.082924,28.793041,28.945135,28.644884,27.51776,28.8628,29.214832,29.236258,28.400793,30.059261,28.85569,28.939217,28.67944,28.622198,28.471674,29.749908,28.287218
DPYSL3,26.798325,28.417013,28.24848,26.797222,27.079746,28.42108,26.50006,26.45906,28.432142,26.221762,26.926662,28.140797,28.51376,26.75994,28.323841,27.395927,27.625969,27.585772,27.138077,25.323698,27.703987,27.807238,27.231794,27.465908,25.877714,26.315262,26.737371,26.258474
KRT5,25.514154,23.599304,22.584112,22.257368,20.368418,27.25027,26.716957,30.90055,25.31127,25.914759,25.46653,22.574987,26.333782,26.119465,24.83937,24.740137,26.187454,23.929316,21.770702,28.790518,26.15368,25.320292,26.601019,25.92882,26.884535,26.380287,26.148043,27.264212
HBB,32.13829,31.180946,31.78701,31.469276,30.442127,30.950249,32.128036,29.665777,30.110407,32.06089,30.113024,32.247322,32.13079,32.109215,32.764164,32.405838,31.917923,31.638514,30.57307,31.611,29.907265,29.942091,30.89857,32.359962,34.16803,28.234732,32.08723,28.07571
HSPA5,28.382048,27.767101,28.39791,28.085997,28.698822,27.074385,27.647436,28.067259,27.817362,27.830956,28.257223,28.17069,27.43505,27.710306,28.070965,26.052261,27.750956,28.014208,28.270437,27.351326,28.460924,27.641123,28.129509,26.758026,27.197548,27.192593,28.316137,26.670647
KRT17,26.400282,24.913584,24.247456,24.051174,23.444307,27.503355,26.769178,32.671883,26.344889,26.963009,26.008318,23.729364,26.534058,26.45723,25.16619,25.624475,26.39457,25.281973,22.753214,32.061947,26.756346,26.140327,27.095963,26.047663,27.12754,26.651558,26.751451,27.497566
EEF2,27.146008,26.508213,27.58412,27.831614,28.225021,25.643755,27.51776,27.141811,26.534292,27.57874,27.923628,27.412367,26.488728,27.681286,26.59731,25.2744,27.55947,27.091282,27.920195,26.373146,28.09411,26.95352,27.364765,26.29621,26.910173,26.747612,27.661062,26.30762
ANXA6,27.487455,26.5394,27.627197,27.20445,27.639986,26.491156,27.205252,27.069477,26.366915,26.956615,27.219193,27.57063,26.545483,27.136806,27.006374,26.397018,27.699814,26.535324,27.72539,26.187805,28.015205,27.477367,28.608503,26.940271,28.194109,27.47242,27.960709,27.900217
TUBB6,20.424143,18.963015,21.123281,21.184149,23.340754,19.586967,14.996441,22.950563,19.019094,19.449892,21.999458,19.525417,17.551468,20.091858,19.572277,19.378706,22.268326,23.443739,23.092855,21.555914,22.067444,21.144049,20.731346,20.46331,18.86469,19.74156,21.91875,20.224985
NUMA1,25.77911,25.204735,25.557257,25.542742,26.051773,24.321878,25.26991,25.428028,25.00594,25.625435,25.386936,25.341663,25.009762,25.56305,25.0186,22.726074,25.173607,24.113283,26.12735,23.354715,26.067528,25.16315,25.004656,24.082876,24.072805,24.6635,25.83311,24.495262
LMNB1,27.303253,26.813404,27.052021,27.940569,27.855385,25.779995,27.28576,26.126703,26.428713,27.34185,26.57449,26.710207,26.59584,27.268847,26.70926,24.211903,26.626722,26.008507,27.209713,24.896408,27.40296,26.676764,26.404516,25.743774,26.320763,25.757673,27.579311,24.961235
GDI1,25.951126,26.588745,27.085049,26.257387,27.352005,26.841623,25.342562,26.45572,26.63455,25.18153,26.607813,26.814915,27.03408,26.112917,26.437784,26.42833,26.872057,26.315872,27.07586,25.089136,26.849588,26.121273,26.797718,26.70788,26.076477,26.973166,26.638014,27.50326
LMNA,28.22172,27.635984,26.565903,27.594269,28.209799,26.842445,27.086584,27.462889,27.755,27.596506,27.058231,26.462301,27.535273,27.352617,26.232264,27.755209,26.185495,27.427008,27.694199,26.797518,27.5081,27.183687,26.272415,26.827059,27.830124,25.263828,27.215277,25.954437
PGK1,27.369127,26.733252,28.316143,27.939478,27.344915,26.688164,27.657217,27.064651,26.893936,27.255667,26.957163,28.179762,26.496881,27.460829,28.334814,26.121685,27.119322,27.920542,27.167196,26.865475,27.368483,27.203741,27.454985,26.978743,27.720512,27.648106,27.558744,27.850725
KRT14,24.90529,23.692709,22.940678,21.35894,22.71392,28.702003,26.704552,30.589565,26.09266,26.780893,26.483501,22.98494,26.252045,25.899538,25.130077,24.618557,25.989025,24.398413,21.973547,28.525835,26.388815,25.12979,26.0262,25.520163,26.627047,25.855814,26.115852,26.970339
KRT16,21.459236,22.869396,22.80066,21.797073,21.751108,26.26711,24.1709,30.131433,25.004065,24.587587,25.021961,22.170948,25.011383,23.553215,23.558363,23.181564,22.757336,22.615173,20.911661,22.65635,23.03589,23.59295,25.338036,23.275719,24.93159,22.246777,24.732092,24.94388
UBA1,26.453651,27.12816,27.149977,27.246332,27.37184,27.34639,27.320602,26.98136,27.179998,26.940676,27.024015,27.266943,27.038277,27.255062,26.605654,26.655931,27.088722,27.055532,27.535332,26.383514,26.558296,25.410612,25.91784,25.950346,26.80684,26.370012,26.591442,26.685207
VCP,26.292253,26.48864,27.044859,25.672642,25.805042,26.147606,25.628702,25.578762,26.493052,25.667007,25.450865,26.987656,26.943588,25.883339,26.186377,25.82322,27.118288,26.85572,26.051397,25.364931,25.865347,25.932262,26.65371,26.112246,25.682365,26.390345,26.705801,26.667093
A2M,25.482388,24.479172,26.554657,26.272997,24.62412,25.463694,26.686516,23.997837,25.227438,26.49764,24.634474,26.325129,25.011562,26.452414,26.929628,22.920052,26.83743,27.242033,24.60796,23.84457,25.32501,25.772451,25.852213,26.146658,26.258219,28.848392,24.596613,25.160038
ATP5B,28.105036,27.550442,27.207289,27.815771,28.041685,27.413233,27.721922,27.372028,27.785183,27.212297,27.699776,26.959293,27.635965,27.609816,26.839426,27.145037,27.534693,27.762428,27.871542,27.336842,25.729315,25.764244,26.510786,25.408678,26.8972,26.972149,26.807014,26.87888
BCAN,24.982292,29.069443,28.32948,29.217266,26.458864,28.994429,28.522001,25.711767,27.701246,28.636805,26.303001,27.721064,28.447031,28.81271,27.940495,26.476822,26.304285,23.874123,25.846642,22.734655,27.53995,25.822449,27.048998,27.273869,25.698593,28.373768,26.78343,27.087114
TPI1,27.92986,28.491241,28.845907,28.861706,27.807009,28.507391,28.418058,27.226995,28.20051,28.576958,28.257217,28.129953,27.540041,28.34939,28.040894,26.779133,27.196463,28.42925,27.384165,27.33012,28.784758,27.218882,27.852962,28.552721,28.483864,28.544483,27.547089,28.691301
YWHAE,27.66755,29.65891,29.170223,28.636005,28.8668,29.655327,28.498568,28.189384,28.976765,28.25712,28.901707,29.193193,29.20539,28.574453,28.500586,28.884882,28.766455,28.635246,29.094585,27.89124,29.183413,28.025517,28.73354,28.58829,28.428625,28.869993,28.729677,28.854658
PYGB,25.585052,26.555357,26.304502,25.554428,27.833698,25.820133,25.511982,26.863901,26.377525,24.968163,27.332726,25.89506,26.653381,25.651218,26.08469,26.39812,26.164076,27.534422,27.535284,25.292007,27.237835,26.92524,25.66861,27.204353,27.242825,26.812325,26.227253,27.144552
ALDOA,27.960215,28.148544,28.87426,28.0417,28.625496,27.750607,27.703936,27.917406,27.766602,27.577679,28.30223,28.683962,27.745663,27.725853,28.193909,26.857555,28.15521,29.452002,28.289368,28.382746,28.485409,27.830608,28.489359,28.168274,28.642426,28.953491,27.747606,29.393282
ATP1A3,23.657368,24.003614,23.147858,20.735643,21.558685,22.59704,21.338196,17.590519,21.918348,20.03438,21.215635,23.080736,22.498856,21.145844,23.558094,21.279408,26.051357,21.110966,22.016464,20.57384,22.783306,23.769537,26.60413,25.01056,24.01257,27.178288,24.390348,27.699028
HNRNPM,26.582144,26.39568,26.90852,28.234814,27.608042,25.578934,27.285036,26.19087,25.89554,27.060146,26.262932,26.292116,26.5384,27.54443,25.963326,24.014791,26.164062,25.810255,26.854836,24.524042,27.220432,26.38534,25.837599,25.590471,25.740358,25.779955,26.643179,25.486397
ANXA2,27.817402,28.017462,28.019781,27.487663,28.215546,27.95758,27.535088,29.275377,28.127241,27.559776,27.884254,28.242191,28.276087,27.32319,26.803741,28.389576,27.554026,29.29715,28.31053,28.167774,26.516754,28.070225,28.589203,28.314983,26.217186,26.79846,27.529291,26.756783
KRT9,26.610306,25.538568,26.3337,24.972576,23.061195,30.206026,28.543512,26.333292,28.414518,27.835592,27.815538,25.231577,28.185328,28.906822,27.343977,27.633312,28.414604,24.619875,21.362404,28.094364,28.843695,28.299545,28.580389,28.982641,29.365448,28.962528,29.228342,30.056297
ATP1A1,26.181427,26.209728,25.53741,25.783226,23.803774,25.74068,25.644976,23.120743,26.424198,25.641064,23.757845,25.193203,26.265532,25.57256,26.207209,25.348036,26.898918,26.7241,24.282192,26.011,25.919548,26.31683,27.470875,26.366354,25.525879,27.419594,25.798628,28.420155
HSP90B1,28.140003,27.110546,27.62732,27.019629,27.789402,26.35805,26.740082,27.04802,26.901484,26.568077,27.479866,27.226723,26.91789,26.598013,27.350689,25.788843,27.23883,27.637125,27.62007,27.171661,28.001917,26.78788,27.039915,25.933645,26.813059,26.389652,27.832123,26.254848
HSPA1B,27.605062,28.192081,27.034857,26.545631,27.255503,27.505468,25.881247,26.57859,27.621714,25.805298,26.986689,26.19744,27.548937,25.71905,26.537472,26.789007,26.654705,26.23085,26.55893,25.507393,26.590153,27.02125,26.143274,27.234005,25.922234,26.871181,27.173584,27.284903
GLUD1,26.31456,26.457535,26.423632,25.110691,28.18776,26.263977,24.75474,27.818523,26.438856,24.606998,27.811205,26.197107,26.547028,25.212767,26.378534,24.204868,27.025354,25.414581,28.011961,24.920282,25.473993,25.814508,27.444622,26.331188,24.844688,27.262955,26.541283,27.350082
AGRN,22.550026,25.471268,25.109634,26.852703,25.565458,24.788534,26.764145,23.207415,25.736395,26.83584,23.603321,25.238644,25.553009,26.407396,25.212097,24.547544,23.23089,25.120173,24.296188,23.613417,25.592525,23.709259,24.35233,23.980165,26.675772,22.858513,24.525496,21.901121
